ID,Week,Block,Color,Environment,Generation,N0,Census,Check,Person,notes
17,35,2,green,100,0,40,88,,,
18,35,2,green,100,0,40,162,,,
19,35,2,green,100,0,40,123,,,
20,35,2,green,100,0,40,101,,,
1,35,2,green,0.95,1,40,82,,,
2,35,2,green,0.95,1,40,58,,,
3,35,2,green,0.95,1,40,68,,,
4,35,2,green,0.95,1,40,26,,,
5,35,2,green,0.95,1,40,64,,,
6,35,2,green,0.95,1,40,52,,,
7,35,2,green,0.95,1,40,28,,,
8,35,2,green,0.95,1,40,45,,,
9,35,2,green,0.95,1,40,34,,,
10,35,2,green,0.95,1,40,41,,,
11,35,2,green,0.95,1,40,64,,,
12,35,2,green,0.95,1,40,35,,,
13,35,2,green,0.95,1,40,62,,,
14,35,2,green,0.95,1,40,36,,,
15,35,2,green,0.95,1,40,65,,,
16,35,2,green,0.95,1,40,74,,,
1,36,3,pink,100,0,40,151,151,,
2,36,3,pink,100,0,40,153,153,,
3,36,3,pink,100,0,40,138,138,,
4,36,3,pink,100,0,40,136,136,,
5,36,3,pink,100,0,40,126,126,,
6,36,3,pink,100,0,40,134,134,,
7,36,3,pink,100,0,40,163,163,,
8,36,3,pink,100,0,40,99,99,,
9,36,3,pink,100,0,40,140,140,,
10,36,3,pink,100,0,40,120,120,,
11,36,3,pink,100,0,40,133,133,,
12,36,3,pink,100,0,40,91,91,,
13,36,3,pink,100,0,40,120,120,,
14,36,3,pink,100,0,40,131,131,,
15,36,3,pink,100,0,40,127,127,,
16,36,3,pink,100,0,40,97,97,,
17,36,3,pink,100,0,40,129,129,,
18,36,3,pink,100,0,40,89,89,,
19,36,3,pink,100,0,40,140,140,,
20,36,3,pink,100,0,40,114,114,,
1,36,3,pink,0.95,1,40,62,62,,
2,36,3,pink,0.95,1,40,61,61,,
3,36,3,pink,0.95,1,40,78,78,,
4,36,3,pink,0.95,1,40,64,64,,
5,36,3,pink,0.95,1,40,64,64,,
6,36,3,pink,0.95,1,40,87,87,,
7,36,3,pink,0.95,1,40,99,99,,
8,36,3,pink,0.95,1,40,66,66,,
9,36,3,pink,0.95,1,40,84,84,,
10,36,3,pink,0.95,1,40,71,71,,
11,36,3,pink,0.95,1,40,57,57,,
12,36,3,pink,0.95,1,40,95,95,,
13,36,3,pink,0.95,1,40,87,87,,
14,36,3,pink,0.95,1,40,82,82,,
15,36,3,pink,0.95,1,40,72,72,,
16,36,3,pink,0.95,1,40,71,71,,
1,36,4,yellow,100,0,40,120,120,,
2,36,4,yellow,100,0,40,149,149,,
3,36,4,yellow,100,0,40,104,104,,
4,36,4,yellow,100,0,40,108,108,,
5,36,4,yellow,100,0,40,81,81,,
6,36,4,yellow,100,0,40,128,128,,
7,36,4,yellow,100,0,40,132,132,,
8,36,4,yellow,100,0,40,130,130,,
9,36,4,yellow,100,0,40,146,146,,
10,36,4,yellow,100,0,40,101,101,,
11,36,4,yellow,100,0,40,111,111,,
12,36,4,yellow,100,0,40,101,101,,
13,36,4,yellow,100,0,40,109,109,,
14,36,4,yellow,100,0,40,120,120,,
15,36,4,yellow,100,0,40,140,140,,
16,36,4,yellow,100,0,40,174,174,,
17,36,4,yellow,100,0,40,145,145,,
18,36,4,yellow,100,0,40,153,153,,
19,36,4,yellow,100,0,40,118,118,,
20,36,4,yellow,100,0,40,111,111,,
1,36,4,yellow,0.95,1,40,67,67,,
2,36,4,yellow,0.95,1,40,83,83,,
3,36,4,yellow,0.95,1,40,64,64,,
4,36,4,yellow,0.95,1,40,53,53,,
5,36,4,yellow,0.95,1,40,56,56,,
6,36,4,yellow,0.95,1,40,89,89,,
7,36,4,yellow,0.95,1,40,82,82,,
8,36,4,yellow,0.95,1,40,93,93,,
9,36,4,yellow,0.95,1,40,61,61,,
10,36,4,yellow,0.95,1,40,75,75,,
11,36,4,yellow,0.95,1,40,40,40,,
12,36,4,yellow,0.95,1,40,59,59,,
13,36,4,yellow,0.95,1,40,53,53,,
14,36,4,yellow,0.95,1,40,88,88,,
15,36,4,yellow,0.95,1,40,50,50,,
16,36,4,yellow,0.95,1,40,65,65,,
1,40,1,blue,100,0,40,167,167,,
2,40,1,blue,100,0,40,137,137,,
3,40,1,blue,100,0,40,145,145,,
4,40,1,blue,100,0,40,152,152,,
5,40,1,blue,100,0,40,125,125,,
6,40,1,blue,100,0,40,146,146,,
7,40,1,blue,100,0,40,157,157,,
8,40,1,blue,100,0,40,136,136,,
9,40,1,blue,100,0,40,139,139,,
10,40,1,blue,100,0,40,135,135,,
11,40,1,blue,100,0,40,163,163,,
12,40,1,blue,100,0,40,133,133,,
13,40,1,blue,100,0,40,166,166,,
14,40,1,blue,100,0,40,128,128,,
15,40,1,blue,100,0,40,136,136,,
16,40,1,blue,100,0,40,150,150,,
17,40,1,blue,100,0,40,152,152,,
18,40,1,blue,100,0,40,123,123,,
19,40,1,blue,100,0,40,176,176,,
20,40,1,blue,100,0,40,119,119,,
1,40,1,blue,0.95,1,40,96,96,,
2,40,1,blue,0.95,1,40,113,113,,
3,40,1,blue,0.95,1,40,114,114,,
4,40,1,blue,0.95,1,40,93,93,,
5,40,1,blue,0.95,1,40,118,118,,
6,40,1,blue,0.95,1,40,113,113,,
7,40,1,blue,0.95,1,40,88,88,,
8,40,1,blue,0.95,1,40,98,98,,
9,40,1,blue,0.95,1,40,87,87,,
10,40,1,blue,0.95,1,40,101,101,,
11,40,1,blue,0.95,1,40,108,108,,
12,40,1,blue,0.95,1,40,89,89,,
13,40,1,blue,0.95,1,40,84,84,,
14,40,1,blue,0.95,1,40,98,98,,
15,40,1,blue,0.95,1,40,98,98,,
16,40,1,blue,0.95,1,40,95,95,,
1,40,2,green,100,0,40,170,170,,
2,40,2,green,100,0,40,162,162,,
3,40,2,green,100,0,40,156,156,,
4,40,2,green,100,0,40,148,148,,
5,40,2,green,100,0,40,85,85,,
6,40,2,green,100,0,40,132,132,,
7,40,2,green,100,0,40,156,156,,
8,40,2,green,100,0,40,153,153,,
9,40,2,green,100,0,40,142,142,,
10,40,2,green,100,0,40,136,136,,
11,40,2,green,100,0,40,123,123,,
12,40,2,green,100,0,40,134,134,,
13,40,2,green,100,0,40,109,109,,
14,40,2,green,100,0,40,140,140,,
15,40,2,green,100,0,40,122,122,,
16,40,2,green,100,0,40,89,89,,
17,40,2,green,100,0,40,142,142,,
18,40,2,green,100,0,40,138,138,,
19,40,2,green,100,0,40,127,127,,
20,40,2,green,100,0,40,77,77,,
1,40,2,green,0.95,1,40,127,127,,
2,40,2,green,0.95,1,40,116,116,,
3,40,2,green,0.95,1,40,99,99,,
4,40,2,green,0.95,1,40,73,73,,
5,40,2,green,0.95,1,40,93,93,,
6,40,2,green,0.95,1,40,85,85,,
7,40,2,green,0.95,1,40,87,87,,
8,40,2,green,0.95,1,40,77,77,,
9,40,2,green,0.95,1,40,102,102,,
10,40,2,green,0.95,1,40,65,65,,
11,40,2,green,0.95,1,40,89,89,,
12,40,2,green,0.95,1,40,99,99,,
13,40,2,green,0.95,1,40,73,73,,
14,40,2,green,0.95,1,40,73,73,,
15,40,2,green,0.95,1,40,73,73,,
16,40,2,green,0.95,1,40,61,61,,
1,41,3,pink,100,0,40,123,123,,
2,41,3,pink,100,0,40,158,158,,
3,41,3,pink,100,0,40,157,157,,
4,41,3,pink,100,0,40,157,157,,
5,41,3,pink,100,0,40,141,141,,
6,41,3,pink,100,0,40,146,146,,
7,41,3,pink,100,0,40,154,154,,
8,41,3,pink,100,0,40,138,138,,
9,41,3,pink,100,0,40,180,180,,
10,41,3,pink,100,0,40,134,134,,
11,41,3,pink,100,0,40,164,164,,
12,41,3,pink,100,0,40,121,121,,
13,41,3,pink,100,0,40,182,182,,
14,41,3,pink,100,0,40,67,67,,
15,41,3,pink,100,0,40,144,144,,
16,41,3,pink,100,0,40,139,139,,
17,41,3,pink,100,0,40,106,106,,
18,41,3,pink,100,0,40,139,139,,
19,41,3,pink,100,0,40,113,113,,
20,41,3,pink,100,0,40,104,104,,
1,41,3,pink,0.95,1,40,82,82,,
2,41,3,pink,0.95,1,40,83,83,,
3,41,3,pink,0.95,1,40,125,125,,
4,41,3,pink,0.95,1,40,80,80,,
5,41,3,pink,0.95,1,40,126,126,,
6,41,3,pink,0.95,1,40,90,90,,
7,41,3,pink,0.95,1,40,89,89,,
8,41,3,pink,0.95,1,40,83,83,,
9,41,3,pink,0.95,1,40,108,108,,
10,41,3,pink,0.95,1,40,103,103,,
11,41,3,pink,0.95,1,40,89,89,,
12,41,3,pink,0.95,1,40,111,111,,
13,41,3,pink,0.95,1,40,98,98,,
14,41,3,pink,0.95,1,40,89,89,,
15,41,3,pink,0.95,1,40,92,92,,
16,41,3,pink,0.95,1,40,99,99,,
1,41,4,yellow,100,0,40,148,148,,
2,41,4,yellow,100,0,40,135,135,,
3,41,4,yellow,100,0,40,146,146,,
4,41,4,yellow,100,0,40,144,144,,
5,41,4,yellow,100,0,40,180,180,,
6,41,4,yellow,100,0,40,120,120,,
7,41,4,yellow,100,0,40,166,166,,
8,41,4,yellow,100,0,40,162,162,,
9,41,4,yellow,100,0,40,145,145,,
10,41,4,yellow,100,0,40,168,168,,
11,41,4,yellow,100,0,40,156,156,,
12,41,4,yellow,100,0,40,152,152,,
13,41,4,yellow,100,0,40,171,171,,
14,41,4,yellow,100,0,40,186,186,,
15,41,4,yellow,100,0,40,135,135,,
16,41,4,yellow,100,0,40,129,129,,
17,41,4,yellow,100,0,40,144,144,,
18,41,4,yellow,100,0,40,129,129,,
19,41,4,yellow,100,0,40,135,135,,
20,41,4,yellow,100,0,40,128,128,,
1,41,4,yellow,0.95,1,40,115,115,,
2,41,4,yellow,0.95,1,40,109,109,,
3,41,4,yellow,0.95,1,40,99,99,,
4,41,4,yellow,0.95,1,40,90,90,,
5,41,4,yellow,0.95,1,40,84,84,,
6,41,4,yellow,0.95,1,40,100,100,,
7,41,4,yellow,0.95,1,40,81,81,,
8,41,4,yellow,0.95,1,40,92,92,,
9,41,4,yellow,0.95,1,40,95,95,,
10,41,4,yellow,0.95,1,40,97,97,,
11,41,4,yellow,0.95,1,40,79,79,,
12,41,4,yellow,0.95,1,40,98,98,,
13,41,4,yellow,0.95,1,40,101,101,,
14,41,4,yellow,0.95,1,40,129,129,,
15,41,4,yellow,0.95,1,40,98,98,,
16,41,4,yellow,0.95,1,40,120,120,,
1,45,1,blue,100,0,40,122,122,,
2,45,1,blue,100,0,40,,,,
3,45,1,blue,100,0,40,157,157,,
4,45,1,blue,100,0,40,,,,
5,45,1,blue,100,0,40,140,140,,
6,45,1,blue,100,0,40,191,191,,
7,45,1,blue,100,0,40,128,128,,
8,45,1,blue,100,0,40,,,,
9,45,1,blue,100,0,40,,,,
10,45,1,blue,100,0,40,,,,
11,45,1,blue,100,0,40,148,148,,
12,45,1,blue,100,0,40,,,,
13,45,1,blue,100,0,40,,,,
14,45,1,blue,100,0,40,106,106,,
15,45,1,blue,100,0,40,,,,
16,45,1,blue,100,0,40,120,120,,
17,45,1,blue,100,0,40,,,,
18,45,1,blue,100,0,40,146,146,,
19,45,1,blue,100,0,40,123,123,,
20,45,1,blue,100,0,40,,,,
1,45,1,blue,0.95,1,40,,,,
2,45,1,blue,0.95,1,40,78,78,,
3,45,1,blue,0.95,1,40,65,65,,
4,45,1,blue,0.95,1,40,,,,
5,45,1,blue,0.95,1,40,88,88,,
6,45,1,blue,0.95,1,40,45,45,,
7,45,1,blue,0.95,1,40,70,70,,
8,45,1,blue,0.95,1,40,,,,
9,45,1,blue,0.95,1,40,94,94,,
10,45,1,blue,0.95,1,40,83,83,,
11,45,1,blue,0.95,1,40,,,,
12,45,1,blue,0.95,1,40,,,,
13,45,1,blue,0.95,1,40,91,91,,
14,45,1,blue,0.95,1,40,68,68,,
15,45,1,blue,0.95,1,40,62,62,,
1,45,2,green,100,0,40,155,155,,
2,45,2,green,100,0,40,124,124,,
3,45,2,green,100,0,40,,,,
4,45,2,green,100,0,40,160,160,,
5,45,2,green,100,0,40,,,,
6,45,2,green,100,0,40,,,,
7,45,2,green,100,0,40,,,,
8,45,2,green,100,0,40,127,127,,
9,45,2,green,100,0,40,160,160,,
10,45,2,green,100,0,40,139,139,,
11,45,2,green,100,0,40,128,128,,
12,45,2,green,100,0,40,136,136,,
13,45,2,green,100,0,40,,,,
14,45,2,green,100,0,40,,,,
15,45,2,green,100,0,40,,,,
